PROV1926;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;x
PROV1927;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;x
PROV1928;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;x
PROV1929;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;x
PROV1930;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;x
PROV1931;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;x
PROV936;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;Harima;x
PROV937;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;Izumo;x
PROV938;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;Bingo;x
PROV939;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;Iwami;x
PROV940;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;Aki;x
PROV941;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;Nagato;x
PROV942;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;Awa;x
PROV943;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;Tosa;x
PROV944;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;Iyo;x
PROV945;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;Bungo;x
PROV946;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;Chikuzen;x
PROV947;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;Hizen;x
PROV948;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;Hyuga;x
PROV949;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;Higo;x
PROV950;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;Satsuma;x
PROV951;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;Vodamayuta;x
PROV952;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;Chatigama;x
PROV953;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;Kalyan;x
PROV954;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;Gove;x
PROV955;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;Udayavara;x
PROV956;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;Kannur;x
PROV957;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;Calicut;x
PROV958;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;Kollam;x
PROV959;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;Thanjavur;x
PROV960;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;Madurai;x
PROV961;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;Dwarasamudra;x
PROV962;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;Kalinganagara;x
PROV963;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;Kataka;x
PROV964;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;Pragjyotisa;x
PROV965;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;Haruppesvara;x
PROV966;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;Draksarama;x
PROV967;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;Rajamahendri;x
PROV968;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;Laksmanavati;x
PROV969;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;Dhara;x
PROV970;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;Anahilapataka;x
PROV971;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;Srinagara;x
PROV972;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;Navadvipa;x
PROV973;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;Jambupura;x
PROV974;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;Charaideo;x
PROV975;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;Sriparvata;x
PROV976;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;Vikramapura;x
PROV977;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;Ucchangidurga;x
PROV978;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;Kanchipuram;x
PROV979;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;Talakad;x
PROV980;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;Pulatthinagara;x
PROV981;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;Vengipura;x
PROV982;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;Tiruneveli;x
PROV983;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;Gangaikonda Cholapuram;x
PROV984;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;Nagapattinam;x
PROV985;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;Yapapatuna;x
PROV986;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;Vapinagara;x
PROV987;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;Tambagama;x
